loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,interest_rate,inflation_rate,season_of_application,loan_status
107,2, Not Graduate, Yes,200000,600000,8,552,400000,200000,700000,200000,3.3911147,3.253897,Fall,approved
108,4, Graduate, No,6300000,15000000,18,750,800000,6500000,15400000,7700000,7.248486,3.425049,Winter,approved
109,4, Not Graduate, No,6400000,14800000,6,537,2300000,3700000,18600000,6500000,2.177231,1.184332,Spring,rejected
110,1, Not Graduate, No,2200000,7000000,18,417,2000000,3900000,6500000,1900000,6.4779434,2.2367778,Winter,rejected
111,3, Graduate, Yes,3000000,7100000,6,415,2000000,5700000,9500000,2500000,4.5226884,3.1521082,Fall,rejected
112,3, Graduate, Yes,1400000,3500000,12,610,1200000,600000,3800000,1400000,3.1069825,1.7235955,Spring,approved
113,0, Graduate, Yes,5400000,21400000,8,721,8200000,6400000,16700000,7400000,4.485002,2.211148,Summer,approved
114,4, Not Graduate, Yes,400000,900000,20,771,1000000,500000,1600000,500000,3.6211245,3.0015326,Fall,approved
115,4, Graduate, No,4800000,14300000,6,795,5900000,0,11100000,2600000,5.16614,3.2492197,Fall,approved
116,5, Not Graduate, Yes,4500000,12700000,8,307,11000000,3800000,12600000,2700000,2.8804333,2.6022146,Spring,rejected
117,4, Not Graduate, No,4300000,10100000,2,606,9900000,1800000,8900000,5500000,7.4754434,3.5832202,Winter,approved
118,1, Not Graduate, No,8600000,25900000,2,606,3700000,14900000,32700000,12200000,3.8988132,1.216915,Spring,approved
119,5, Not Graduate, Yes,2300000,5000000,10,431,300000,3700000,8700000,2900000,5.6403384,3.5197046,Fall,rejected
120,5, Graduate, No,8800000,21600000,18,613,15400000,12100000,30000000,8400000,5.59095,1.8382154,Summer,approved
121,4, Graduate, No,7900000,30600000,2,569,7600000,3400000,20100000,7400000,4.8341393,1.9282036,Summer,approved
122,5, Graduate, No,5200000,20700000,2,538,3200000,2000000,14600000,3600000,5.2329326,2.9020615,Summer,approved
123,2, Graduate, No,3400000,12900000,14,857,3400000,2500000,8700000,1900000,2.929939,1.1831558,Spring,approved
124,1, Graduate, Yes,5600000,16800000,16,528,7500000,6500000,12300000,3900000,2.1165097,2.8026307,Spring,rejected
125,2, Not Graduate, Yes,2400000,5400000,12,739,300000,2500000,5000000,3000000,1.1565561,3.5461054,Fall,approved
126,1, Graduate, No,7000000,20500000,10,414,19700000,7500000,20700000,5100000,6.945682,3.801521,Winter,rejected
127,2, Not Graduate, No,9100000,24900000,16,822,22300000,12100000,31000000,5200000,2.84258,2.6095455,Spring,approved
128,3, Not Graduate, No,2400000,8200000,10,531,6800000,1900000,5700000,2000000,2.5701814,2.5701063,Spring,rejected
129,4, Not Graduate, Yes,2400000,5600000,4,662,4500000,4200000,5400000,2500000,7.208764,1.2334179,Winter,approved
130,3, Graduate, No,6100000,20700000,4,816,14900000,5400000,24200000,5900000,5.5735373,2.798214,Summer,approved
131,5, Graduate, No,4700000,10200000,16,874,10800000,7700000,11100000,7000000,5.3088174,2.2783363,Summer,approved
132,1, Not Graduate, No,5100000,20000000,4,506,7900000,8900000,20300000,6700000,4.6230073,1.8151561,Summer,approved
133,1, Graduate, Yes,200000,400000,20,882,400000,100000,300000,0,5.883782,2.5087607,Summer,approved
134,1, Not Graduate, No,6600000,19700000,12,758,16000000,4400000,18800000,9500000,7.273883,2.9905057,Winter,approved
135,0, Graduate, No,9400000,28300000,20,761,22500000,14800000,30800000,10100000,3.3409095,3.621674,Fall,approved
136,0, Not Graduate, No,4500000,14500000,2,766,6100000,8400000,17200000,6600000,4.5599856,2.4726691,Summer,approved
137,3, Not Graduate, Yes,9500000,22800000,6,319,200000,18800000,34100000,9400000,4.7966247,1.4817468,Summer,rejected
138,0, Not Graduate, Yes,8600000,17700000,20,711,22000000,0,30800000,7400000,6.2793694,2.9135342,Winter,approved
139,4, Not Graduate, Yes,9300000,27500000,18,338,21500000,500000,34900000,6600000,2.629476,0,Spring,rejected
140,1, Graduate, No,1600000,4500000,14,673,1900000,2700000,3700000,1300000,3.7146723,2.9021685,Spring,approved
141,4, Graduate, Yes,9500000,31800000,6,519,5900000,1300000,28400000,12200000,4.683633,2.198591,Summer,rejected
142,5, Not Graduate, Yes,5400000,16700000,2,354,1100000,4500000,19300000,5200000,2.2989624,3.076632,Fall,approved
143,0, Not Graduate, No,5700000,15600000,16,742,700000,5800000,11400000,6800000,6.2132483,2.1309397,Winter,approved
144,1, Graduate, Yes,5100000,11500000,4,747,5000000,8900000,14100000,7000000,5.2514434,2.318127,Summer,approved
145,2, Not Graduate, No,8300000,20800000,6,667,19300000,4100000,25400000,6800000,6.192938,1.6606444,Winter,approved
146,0, Not Graduate, Yes,3200000,11600000,4,393,4700000,300000,8000000,3100000,6.0648856,2.6792486,Winter,approved
147,4, Not Graduate, No,9900000,22700000,12,567,28300000,9900000,29700000,5400000,4.1781034,2.4411397,Summer,approved
148,2, Not Graduate, No,8900000,29200000,8,608,10800000,5200000,33500000,11700000,6.29709,3.3645973,Winter,approved
149,2, Not Graduate, Yes,6200000,21600000,20,679,18600000,2500000,24500000,9100000,2.3719335,2.1174846,Spring,approved
150,3, Graduate, No,8400000,32600000,4,509,22700000,12600000,32400000,8700000,3.5929124,4.273787,Winter,approved
151,0, Not Graduate, No,2100000,5900000,14,402,4400000,0,4800000,1000000,8.747997,1.4372882,Winter,rejected
152,5, Graduate, No,7900000,28600000,12,812,12100000,14400000,30000000,11700000,4.7528877,2.5082777,Summer,approved
153,4, Graduate, Yes,9800000,27000000,2,395,18700000,3000000,23000000,9700000,5.4697056,2.5736165,Summer,rejected
154,5, Graduate, No,1100000,4000000,16,498,400000,100000,2300000,700000,4.910799,1.6320173,Summer,rejected
155,2, Graduate, No,5300000,19300000,16,368,14700000,400000,11600000,3700000,3.9711752,2.6686873,Spring,rejected
156,4, Graduate, No,1100000,4000000,14,887,2400000,1500000,4200000,1600000,2.2973068,2.4062512,Spring,approved
157,1, Not Graduate, Yes,2900000,9900000,18,783,1300000,100000,11000000,2600000,5.2752156,1.7135993,Summer,approved
158,2, Not Graduate, No,5400000,13800000,20,574,900000,9200000,10900000,3700000,5.4813385,3.1698964,Fall,approved
159,0, Not Graduate, No,8200000,20900000,14,766,4400000,12300000,18400000,12100000,4.742596,1.7378237,Summer,approved
160,2, Not Graduate, No,2700000,5900000,14,662,3200000,1600000,7300000,3800000,4.0044036,3.2145524,Fall,approved
161,3, Not Graduate, Yes,3000000,11400000,10,424,1800000,4200000,10900000,1500000,4.7510567,2.0672388,Summer,rejected
162,3, Not Graduate, No,8100000,30400000,12,606,900000,1100000,31900000,11600000,6.2608304,1.9570086,Winter,approved
163,0, Graduate, No,1800000,6600000,4,898,2400000,100000,4600000,1400000,5.010098,3.1620317,Fall,approved
164,0, Graduate, No,600000,2300000,8,627,1800000,500000,2200000,300000,3.8078203,2.80976,Spring,approved
165,4, Graduate, No,4800000,14000000,2,695,11300000,1700000,15400000,4600000,2.6630728,1.755921,Spring,approved
166,0, Graduate, Yes,6400000,16900000,16,759,16200000,7100000,15200000,3100000,4.0065074,2.135676,Summer,approved
167,1, Graduate, Yes,6700000,18800000,6,798,8700000,5900000,18000000,6100000,5.7650776,3.8317575,Fall,approved
168,3, Not Graduate, Yes,5800000,16700000,16,735,3900000,9400000,12600000,5600000,4.0143433,1.3397036,Summer,approved
169,3, Not Graduate, Yes,1800000,5300000,14,440,2000000,100000,3700000,1000000,5.0005245,3.153621,Fall,rejected
170,5, Not Graduate, No,4200000,13400000,16,545,9800000,8200000,12500000,3500000,3.9975848,1.7696117,Spring,rejected
171,5, Graduate, No,9900000,24600000,2,530,24200000,12800000,20400000,13000000,5.6099257,1.3340945,Summer,rejected
172,4, Not Graduate, No,7700000,24500000,20,582,9800000,6600000,29100000,6500000,5.1500206,3.1519825,Fall,approved
173,5, Not Graduate, Yes,5500000,17300000,16,874,1000000,2900000,13700000,7900000,6.6605005,2.8768237,Winter,approved
174,4, Not Graduate, No,2700000,10700000,6,857,7400000,4200000,8200000,2800000,5.863456,3.2919648,Fall,approved
175,4, Graduate, Yes,2900000,5900000,18,621,200000,3100000,8500000,3500000,9.247576,2.9274483,Winter,approved
176,2, Graduate, No,8100000,20800000,18,778,4100000,15500000,16700000,10600000,5.6864204,3.6805503,Fall,approved
177,5, Not Graduate, Yes,1100000,2700000,4,889,1900000,1000000,2200000,500000,3.8833034,1.4192507,Spring,approved
178,5, Graduate, Yes,4200000,9400000,6,678,4700000,5500000,9900000,5700000,5.5617666,3.6271245,Fall,approved
179,0, Graduate, Yes,6700000,14900000,16,638,3300000,6900000,22300000,8100000,4.925751,3.6930127,Fall,approved
180,3, Graduate, Yes,8400000,19600000,2,741,21500000,200000,18700000,8300000,3.6588855,2.6741495,Spring,approved
181,5, Graduate, Yes,3500000,13500000,10,535,3100000,5700000,12500000,3100000,6.280994,2.3642206,Winter,rejected
182,0, Graduate, No,8600000,31800000,2,895,22600000,15900000,19600000,5100000,8.216846,1.2374793,Winter,approved
183,4, Not Graduate, Yes,7600000,23800000,16,896,3700000,4500000,15400000,6400000,6.3596106,1.3849746,Winter,approved
184,3, Not Graduate, Yes,7000000,15200000,2,709,10300000,12500000,20700000,4000000,7.1570373,2.9167602,Winter,approved
185,2, Not Graduate, Yes,7200000,21900000,12,640,0,11400000,14600000,3800000,4.587385,4.7980022,Winter,approved
186,3, Not Graduate, Yes,8100000,29300000,2,413,8100000,15100000,25500000,6400000,6.099474,2.6532228,Winter,approved
187,3, Graduate, Yes,5100000,20400000,6,754,1700000,2600000,11800000,7600000,5.0925665,3.08052,Fall,approved
188,5, Graduate, No,5300000,19400000,6,510,14700000,7000000,13600000,3700000,5.7754774,2.6359632,Summer,rejected
189,0, Not Graduate, Yes,6600000,18500000,16,802,14600000,1100000,21800000,9700000,1.2754637,1.8132001,Spring,approved
190,0, Not Graduate, No,9800000,20100000,16,606,6200000,800000,37300000,8700000,4.2168703,0.24348877,Summer,approved
191,3, Not Graduate, Yes,1000000,2500000,18,763,400000,1100000,2100000,1400000,4.4256387,4.643323,Winter,approved
192,3, Not Graduate, No,1400000,2700000,8,625,3100000,1800000,3400000,1000000,5.3929567,3.744834,Fall,approved
193,5, Graduate, Yes,7700000,16800000,20,584,8600000,4800000,23400000,8000000,6.527917,1.2693884,Winter,approved
194,3, Graduate, No,6600000,22100000,4,455,3800000,3000000,25100000,7400000,3.8796995,1.9653887,Spring,approved
195,3, Graduate, Yes,9200000,33500000,8,564,20800000,15200000,29800000,11400000,5.583975,2.6627986,Summer,approved
196,0, Not Graduate, No,6200000,17300000,8,583,3700000,3900000,13600000,3300000,7.1491003,1.847004,Winter,approved
197,5, Graduate, Yes,3000000,11900000,14,459,6000000,4800000,11700000,4200000,4.9548674,3.295233,Fall,rejected
198,5, Not Graduate, Yes,3900000,8300000,18,600,3900000,600000,10400000,5600000,5.71257,1.7879322,Summer,approved
199,2, Graduate, No,3900000,13600000,10,373,11600000,1000000,8400000,3600000,7.722714,4.062748,Winter,rejected
200,0, Graduate, Yes,1000000,3800000,8,553,2500000,1000000,2100000,1300000,5.8009744,2.3575113,Summer,approved
201,4, Graduate, Yes,9200000,25400000,14,765,21200000,6600000,25100000,5600000,5.016567,1.52666,Summer,approved
202,2, Not Graduate, No,3200000,8600000,18,638,1000000,4900000,8600000,3500000,5.3410554,1.4046507,Summer,approved
203,3, Not Graduate, No,2400000,8200000,10,531,6800000,1900000,5700000,2000000,9.705824,2.309052,Winter,rejected
204,5, Not Graduate, Yes,8200000,20900000,14,726,11400000,4800000,26000000,8400000,6.1782494,2.3410425,Winter,approved
205,3, Graduate, No,2800000,8500000,20,431,6200000,1700000,7800000,2200000,3.3810942,3.7992096,Fall,rejected
206,2, Not Graduate, Yes,2000000,6700000,14,638,4900000,200000,4900000,2300000,4.06973,2.126019,Summer,approved
207,5, Not Graduate, Yes,5200000,18100000,8,809,2400000,6900000,14000000,5500000,5.377969,0.8589138,Summer,approved
208,5, Graduate, No,9000000,32800000,4,773,10600000,4100000,18900000,11500000,5.606913,1.0685595,Summer,approved
209,5, Not Graduate, No,4900000,10800000,18,613,6800000,800000,14500000,5300000,5.052036,2.5488188,Summer,approved
210,5, Graduate, Yes,4400000,10600000,20,806,9700000,3600000,10800000,2500000,6.5261707,5,Winter,approved
211,1, Graduate, Yes,6500000,20600000,2,306,15900000,1900000,18100000,3200000,8.096606,2.1088614,Winter,approved
212,2, Graduate, Yes,2900000,7300000,8,394,7700000,2600000,7700000,4000000,5.320149,1.1918142,Summer,rejected
213,2, Not Graduate, Yes,600000,1700000,2,495,1700000,200000,1200000,500000,3.4641922,1.7856233,Spring,rejected
214,4, Graduate, No,400000,1400000,18,827,-100000,0,900000,600000,4.3225203,2.7135303,Summer,approved
215,3, Graduate, No,8300000,18900000,4,316,20200000,9700000,21300000,8200000,4.993934,0.90675163,Summer,rejected
216,0, Not Graduate, No,8400000,20800000,20,590,5100000,8900000,32100000,10800000,4.9799933,1.646464,Summer,approved
217,5, Graduate, No,7900000,28600000,12,812,12100000,14400000,30000000,11700000,7.500904,4.4070787,Winter,approved
218,1, Graduate, Yes,4000000,10100000,16,451,7000000,3900000,14300000,3900000,6.513264,1.81859,Winter,rejected
219,2, Not Graduate, No,8700000,25000000,20,861,14700000,8500000,23200000,7300000,4.4115,3.4505908,Fall,approved
220,0, Not Graduate, No,5000000,16300000,12,737,2600000,3400000,11800000,4400000,3.646887,3.5758307,Fall,approved
221,5, Not Graduate, Yes,6200000,22200000,20,819,13500000,6600000,21700000,8700000,2.8450649,3.1255953,Fall,approved
222,4, Not Graduate, Yes,1100000,2900000,4,554,2800000,1000000,4100000,1600000,2.1620347,4.522411,Winter,approved
223,2, Not Graduate, No,8400000,26300000,4,419,22900000,7900000,29200000,6200000,5.6743464,2.6333396,Summer,approved
224,4, Not Graduate, No,1000000,3800000,2,611,1700000,1800000,2500000,600000,4.2001014,3.251222,Fall,approved
225,4, Not Graduate, Yes,3500000,8300000,2,897,7900000,5500000,12600000,1800000,7.253709,3.0295746,Winter,approved
226,3, Graduate, No,7800000,21800000,8,517,7700000,5100000,19500000,9100000,5.229085,3.9540539,Fall,rejected
227,3, Graduate, No,200000,800000,18,752,200000,200000,300000,200000,3.3842554,3.6094575,Fall,approved
228,1, Graduate, Yes,7500000,19900000,10,669,1800000,8800000,18100000,7300000,7.38924,2.8568642,Winter,approved
229,1, Graduate, No,5100000,13800000,14,350,6200000,2200000,12600000,3600000,5.1419373,2.102856,Summer,rejected
230,3, Not Graduate, Yes,2500000,7700000,16,485,2000000,3600000,5600000,3200000,5.6264806,2.7054086,Summer,rejected
231,1, Graduate, No,9500000,23000000,10,627,28500000,11500000,21700000,9100000,6.3981895,1.051035,Winter,approved
232,3, Not Graduate, Yes,800000,2900000,10,644,600000,500000,2900000,400000,7.30002,2.5220053,Winter,approved
233,1, Not Graduate, Yes,9500000,19100000,16,662,100000,10500000,37700000,11700000,4.7699895,1.8842657,Summer,approved
234,4, Graduate, No,2200000,7800000,20,633,0,3900000,8400000,1900000,6.111855,3.3494751,Winter,approved
